Time (s),X (rad/s),Y (rad/s),Z (rad/s)
87247.376831236,0.052292,0.009262,-0.018539
87247.381744566,0.054428,0.015656,-0.012146
87247.386688414,0.060822,0.019913,-0.006821
87247.391632261,0.065079,0.023102,-0.000427
87247.396576109,0.07254,0.031631,0.007019
87247.401519957,0.078934,0.040146,0.012344
87247.406463804,0.082123,0.049744,0.015549
87247.411407652,0.081055,0.055069,0.018738
87247.4163515,0.082123,0.063583,0.01767
87247.42126483,0.083191,0.072113,0.012344
87247.426208677,0.083191,0.07637,0.008087
87247.431152525,0.078934,0.080627,0.001694
87247.436065855,0.074661,0.085953,-0.0047
87247.441009703,0.068268,0.091278,-0.010025
87247.44595355,0.06189,0.096603,-0.01535
87247.455841246,0.049103,0.099808,-0.017471
87247.460754576,0.045898,0.097672,-0.014282
87247.465698423,0.044846,0.09874,-0.008957
87247.470642271,0.044846,0.09874,-0.0047
87247.475586119,0.048035,0.096603,-0.003632
87247.490417662,0.064011,0.084885,0.000626
87247.500274839,0.066147,0.079559,0.000626
87247.505218687,0.062943,0.078506,-0.000427
87247.510162535,0.06189,0.081696,-0.001495
87247.515106382,0.062943,0.083832,-0.003632
87247.52005023,0.059753,0.087021,-0.0047
87247.524994078,0.058685,0.092346,-0.007889
87247.529937925,0.057617,0.095551,-0.012146
87247.534881773,0.05336,0.100876,-0.012146
87247.539825621,0.048035,0.102997,-0.014282
87247.544769468,0.045898,0.108322,-0.013214
87247.549682798,0.040573,0.110458,-0.013214
87247.554626646,0.038452,0.114716,-0.014282
87247.559570494,0.036316,0.115784,-0.013214
87247.564514341,0.036316,0.118988,-0.014282
87247.569458189,0.037384,0.121109,-0.013214
87247.574371519,0.040573,0.122177,-0.012146
87247.579315367,0.044846,0.130692,-0.006821
87247.584259214,0.051224,0.137085,-0.005753
87247.589203062,0.059753,0.137085,-0.0047
87247.59414691,0.062943,0.132828,-0.0014949999999999
